sample_id,mode,status,context_length,depth_name,retrieval_correct,peak_memory_gb,tokens_per_second
2048_early_44,streaming,completed,2048,early,False,5.645144939422607,5.782183742040005
2048_middle_42,streaming,completed,2048,middle,False,5.645144939422607,5.0788307912029405
2048_middle_43,streaming,completed,2048,middle,False,5.645144939422607,5.630748831573563
2048_middle_44,streaming,completed,2048,middle,False,5.645144939422607,5.7456447353054765
2048_late_42,streaming,completed,2048,late,False,5.645144939422607,5.697441994149826
2048_late_43,streaming,completed,2048,late,False,5.645144939422607,5.045886089701734
2048_late_44,streaming,completed,2048,late,False,5.645144939422607,5.654515572249042
4096_early_42,streaming,completed,4096,early,False,6.005565166473389,3.5717881229287847
4096_early_43,streaming,completed,4096,early,False,6.005565166473389,3.3181479254408166
4096_early_44,streaming,completed,4096,early,False,6.005565166473389,3.5478011754072942
4096_middle_42,streaming,completed,4096,middle,False,6.005565166473389,3.5505547585585138
4096_middle_43,streaming,completed,4096,middle,False,6.005565166473389,3.2914943788963815
4096_middle_44,streaming,completed,4096,middle,False,6.005565166473389,3.5106989108827142
4096_late_42,streaming,completed,4096,late,False,6.005565166473389,3.351056888910458
4096_late_43,streaming,completed,4096,late,False,6.005565166473389,3.5018526399281327
4096_late_44,streaming,completed,4096,late,False,6.005565166473389,3.483884654632425
8192_early_42,streaming,completed,8192,early,False,6.726542949676514,1.9427363131371294
8192_early_43,streaming,completed,8192,early,False,6.726542949676514,1.8408703473190033
8192_early_44,streaming,completed,8192,early,False,6.726542949676514,1.9023883631965126
8192_middle_42,streaming,completed,8192,middle,False,6.726542949676514,1.8762136711746762
8192_middle_43,streaming,completed,8192,middle,False,6.726542949676514,1.7920954088369851
8192_middle_44,streaming,completed,8192,middle,False,6.726542949676514,1.8705573939660574
8192_late_42,streaming,completed,8192,late,False,6.726542949676514,1.8646141574848134
8192_late_43,streaming,completed,8192,late,False,6.726542949676514,1.778237484570991
8192_late_44,streaming,completed,8192,late,False,6.726542949676514,1.8459647461642226
2048_early_42,hybrid,completed,2048,early,True,5.503648281097412,2.5115644762623135
2048_early_43,hybrid,completed,2048,early,True,5.503648281097412,2.269572951571821
2048_early_44,hybrid,completed,2048,early,False,5.503648281097412,2.544474981572284
2048_middle_42,hybrid,completed,2048,middle,True,5.503648281097412,2.2904483889489513
2048_middle_43,hybrid,completed,2048,middle,True,5.503648281097412,2.4977603227141447
2048_middle_44,hybrid,completed,2048,middle,False,5.503648281097412,2.292485951236562
2048_late_42,hybrid,completed,2048,late,True,5.503648281097412,2.5051667118012504
2048_late_43,hybrid,completed,2048,late,True,5.503648281097412,2.3616348506464826
2048_late_44,hybrid,completed,2048,late,True,5.503648281097412,2.5322518419973092
4096_early_42,hybrid,completed,4096,early,True,5.567788600921631,1.3583470152716335
4096_early_43,hybrid,completed,4096,early,True,5.567788600921631,1.3395424212202107
4096_early_44,hybrid,completed,4096,early,True,5.567788600921631,1.3295615949974018
4096_middle_42,hybrid,completed,4096,middle,True,5.567788600921631,1.323169637209454
4096_middle_43,hybrid,completed,4096,middle,True,5.567788600921631,1.3105830450128697
4096_middle_44,hybrid,completed,4096,middle,False,5.567788600921631,1.2970331738086647
4096_late_42,hybrid,completed,4096,late,True,5.567788600921631,1.3005579218803676
4096_late_43,hybrid,completed,4096,late,True,5.567788600921631,1.2833321728080196
4096_late_44,hybrid,completed,4096,late,True,5.567788600921631,1.2683695104346904
8192_early_42,hybrid,completed,8192,early,True,5.672585964202881,0.6597485388154193
8192_early_43,hybrid,completed,8192,early,True,5.672585964202881,0.6553752956750492
8192_early_44,hybrid,completed,8192,early,False,5.672585964202881,0.6507885229597294
8192_middle_42,hybrid,completed,8192,middle,True,5.672585964202881,0.6280531986594352
8192_middle_43,hybrid,completed,8192,middle,True,5.672585964202881,0.6424775337643949
8192_middle_44,hybrid,completed,8192,middle,False,5.672585964202881,0.6630901482442204
8192_late_42,hybrid,completed,8192,late,True,5.672585964202881,0.6493676730618145
8192_late_43,hybrid,completed,8192,late,True,5.672585964202881,0.649608315513531
8192_late_44,hybrid,completed,8192,late,False,5.672585964202881,0.6358385660419795
